system:index,Date,NDVI,NDWI,S1,SI5,Sampling,.geo
17_00000000000000000000_0,2020-06-01,0.3745605,-0.43542117,-12.144646122663929,0.22325563822667502,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_00000000000000000002_0,2020-06-01,0.2856847,-0.38341507,-11.194678188321358,0.240248870965089,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_00000000000000000004_0,2020-06-01,0.3578107,-0.42747542,-12.963773014422419,0.2039764692311346,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_00000000000000000006_0,2020-06-01,0.3657963,-0.4143727,-13.453452105283077,0.19415668930016292,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_00000000000000000008_0,2020-06-01,0.26594415,-0.32504362,-13.75816478590199,0.235804103017738,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0000000000000000000a_0,2020-06-01,0.2034276,-0.2521398,-12.089517385534474,0.2786273855887106,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0000000000000000000c_0,2020-06-01,0.32889417,-0.38970405,-13.687863184852826,0.20676871136610586,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0000000000000000000e_0,2020-06-01,0.3379838,-0.37862277,-14.641739614804553,0.22162285531957213,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_00000000000000000010_0,2020-06-01,0.26247728,-0.32065102,-12.488422503225777,0.25115956083732904,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_00000000000000000000_0,2020-07-01,0.28536683,-0.3880499,-14.428885233894427,0.25585189074931614,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_00000000000000000002_0,2020-07-01,0.24459374,-0.34819195,-15.149280434922874,0.25209060871043965,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_00000000000000000004_0,2020-07-01,0.3245717,-0.38435125,-14.063215807542129,0.21081630629531484,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
